Type,model,mode,Accuracy,Precision,Recall,True positive,Sensitivity,Specificity,F1 Score
Classification,resnet152,MR1_1,0.777158774,0.75,0.772043011,279,0.75,0.75,0.794247788
Classification,resnet152,MR1_2,0.727019499,0.768214286,0.847142857,261,0.768214286,0.751941032,0.824825405
Classification,resnet152,MR1_3,0.7,0.75,0.857142857,252,0.75,0.75,0.810810811
Classification,resnet152,MR1_4,0.660194175,0.75,0.908823529,204,0.75,0.75,0.819628647
Classification,alexnet,MR1_1,0.766666667,0.75,0.782608696,276,0.75,0.75,0.796460177
Classification,alexnet,MR1_2,0.835654596,0.75,0.718,300,0.75,0.75,0.782135076
Classification,alexnet,MR1_3,0.858333333,0.767030779,0.713839862,309,0.767030779,0.751995332,0.794930652
Classification,alexnet,MR1_4,0.844660194,0.75,0.710344828,261,0.75,0.75,0.78030303
Classification,vgg16,MR1_1,0.777158774,0.752163651,0.773485445,279,0.752163651,0.750111968,0.796372833
Classification,vgg16,MR1_2,0.777158774,0.75,0.772043011,279,0.75,0.75,0.794247788
Classification,vgg16,MR1_3,0.7,0.693622315,0.800052383,252,0.693622315,0.744477073,0.751165966
Classification,vgg16,MR1_4,0.805825243,0.769308943,0.766192412,249,0.769308943,0.75244893,0.809106028
Classification,googlenet,MR1_1,0.701949861,0.75,0.854761905,252,0.75,0.75,0.810383747
Classification,googlenet,MR1_2,0.701949861,0.75,0.854761905,252,0.75,0.75,0.810383747
Classification,googlenet,MR1_3,0.7,0.75,0.857142857,252,0.75,0.75,0.810810811
Classification,googlenet,MR1_4,0.650485437,0.738970588,0.907819225,201,0.738970588,0.748834701,0.809563502
Classification,vit,MR1_1,0.927576602,0.958974654,0.836764977,333,0.958974654,0.773269661,0.979334993
Classification,vit,MR1_2,0.777158774,0.75,0.772043011,279,0.75,0.75,0.794247788
Classification,vit,MR1_3,0.844011142,0.768928571,0.729047619,303,0.768928571,0.752144612,0.800183281
Classification,vit,MR1_4,0.796116505,0.75,0.753658537,246,0.75,0.75,0.79028133
