Type,model,mode,Accuracy,Precision,Recall,True positive,Sensitivity,Specificity,F1 Score
Classification,resnet152,MR1_1,0.702228412,0.744231202,0.656310273,268,0.744231202,0.75995619,0.788845341
Classification,resnet152,MR1_2,0.635376045,0.678801843,0.662692012,244,0.678801843,0.753267259,0.734536906
Classification,resnet152,MR1_3,0.741666667,0.65,0.491089109,283,0.65,0.75,0.680911063
Classification,resnet152,MR1_4,0.735654596,0.65,0.4975,280,0.652557604,0.750233969,0.682135076
Classification,alexnet,MR1_1,0.718941504,0.635564516,0.49844086,274,0.635564516,0.748171103,0.670484365
Classification,alexnet,MR1_2,0.693871866,0.619226987,0.510285396,265,0.619226987,0.746520697,0.659056277
Classification,alexnet,MR1_3,0.641666667,0.630400941,0.589331797,247,0.630400941,0.747908028,0.681537521
Classification,alexnet,MR1_4,0.754368932,0.660197645,0.489683207,244,0.660197645,0.751299758,0.688902084
Classification,vgg16,MR1_1,0.735654596,0.652557604,0.500145929,280,0.652557604,0.750233969,0.684723507
Classification,vgg16,MR1_2,0.677158774,0.603097954,0.505936271,259,0.603097954,0.74411881,0.644787253
Classification,vgg16,MR1_3,0.616666667,0.5944528,0.567078495,238,0.5944528,0.743119837,0.647106329
Classification,vgg16,MR1_4,0.735654596,0.65,0.4975,280,0.65,0.75,0.682135076
Classification,googlenet,MR1_1,0.76908078,0.704330673,0.525465887,292,0.704330673,0.756335129,0.731540995
Classification,googlenet,MR1_2,0.702228412,0.667208891,0.554231951,268,0.667208891,0.751168251,0.706737684
Classification,googlenet,MR1_3,0.75,0.731190267,0.574285834,286,0.731190267,0.758396967,0.762873307
Classification,googlenet,MR1_4,0.62815534,0.554961638,0.5063127,205,0.554961638,0.738452352,0.603755412
Classification,vit,MR1_1,0.705825243,0.702020977,0.608157395,229,0.702020977,0.756396179,0.745226524
Classification,vit,MR1_2,0.773786408,0.678490328,0.490208859,250,0.678490328,0.753576815,0.703705999
Classification,vit,MR1_3,0.705825243,0.702020977,0.608157395,229,0.702020977,0.756396179,0.745226524
Classification,vit,MR1_4,0.744660194,0.65,0.487931034,241,0.65,0.75,0.68030303
